DATE,dt,p,rh,t,vis,ws_2min,slp,vapor,precipitation,wd_2min,wd_10min,ws_10min,wd_instant,ws_instant,phenomena,station_id,SO2,NO2,CO,O3,PM10,PM2.5,AQI,ec_vis,ec_sh2,ec_t2m,ec_d2m,ec_sp,ec_msl,ec_u10,ec_v10,ec_rh,ec_ws,ec_wd,ec_cbh,ec_sf,ec_blh,ec_fal,ec_lcc,ec_mcc,ec_hcc,ec_tp
2025-05-02 00:00:00,-1.4,857.3,19.0,23.6,10800.0,1.8,1001.9,5.5,0.0,225.0,218.0,1.6,210.0,2.5,0.0,51828,3.42,79.34,1.27,23.96,199.75,73.03,125.78,11733.74,0.0,22.42,-11.46,856.62,1004.93,0.91,1.07,9.41,1.41,220.25,,0.0,35.88,0.21,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,4.8,857.7,40.0,18.7,7000.0,0.0,1002.8,8.6,0.0,106.0,114.0,0.2,90.0,0.2,6.0,51818,5.2,49.77,0.78,59.46,163.15,60.93,112.75,13679.74,0.0,24.64,-6.28,854.63,1004.49,0.01,0.47,12.37,0.47,180.85,,0.0,18.63,0.27,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,5.2,852.4,38.0,19.9,10000.0,0.7,1002.5,8.8,0.0,184.0,174.0,0.7,191.0,0.8,0.0,51931,4.98,64.12,0.87,34.82,159.75,62.05,115.19,10459.74,0.0,23.11,-13.41,854.19,1004.34,-1.05,0.68,7.71,1.25,122.96,,0.0,34.5,0.21,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,-0.1,856.5,27.0,19.4,10500.0,1.0,997.2,6.1,0.0,186.0,193.0,0.7,188.0,1.2,0.0,51826,4.98,66.6,0.98,32.81,173.81,66.29,121.73,10459.74,0.0,23.59,-12.34,856.72,1004.31,0.91,0.4,8.17,0.99,246.4,,0.0,29.75,0.26,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,0.7,853.7,28.0,19.7,13300.0,0.8,1002.4,6.4,0.0,184.0,226.67,0.2,186.0,0.9,0.0,51839,5.03,60.74,0.87,35.65,150.67,57.48,108.13,9255.74,0.0,23.79,-10.37,853.87,1004.38,-1.35,-0.77,9.46,1.56,60.21,,0.0,87.88,0.24,0.0,0.0,0.0,0.0
2025-05-02 00:00:00,-5.5,859.5,15.0,22.4,10500.0,2.0,997.0,4.1,0.0,243.0,243.0,2.1,261.0,2.5,0.0,51829,4.98,66.6,0.98,31.15,188.93,67.5,124.45,11133.74,0.0,23.33,-10.68,865.4,1004.09,-0.02,0.28,9.48,0.28,175.04,,0.0,13.63,0.24,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-2.7,857.3,18.0,22.8,9100.0,1.3,1001.8,5.0,0.0,189.0,195.0,0.9,193.0,1.5,0.0,51828,2.36,53.21,0.59,41.07,169.07,110.93,149.78,11729.35,0.0,21.25,-10.33,856.85,1005.3,1.59,2.31,11.07,2.81,214.45,,0.0,41.31,0.21,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-8.8,859.4,12.0,21.9,19700.0,1.1,996.5,3.2,0.0,233.0,227.0,1.8,213.0,1.3,0.0,51829,2.36,43.29,0.5,42.95,166.0,78.5,132.54,11129.35,0.0,20.98,-9.73,865.67,1004.75,0.21,2.17,11.8,2.18,185.41,,0.0,39.69,0.24,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-0.1,853.8,29.0,18.2,16500.0,0.8,1002.2,6.1,0.0,253.0,240.0,0.7,248.0,0.9,0.0,51839,3.42,41.35,0.59,40.43,137.99,65.79,114.3,9257.35,0.0,21.13,-10.01,854.09,1005.09,-0.49,1.09,11.44,1.2,155.88,,0.0,34.06,0.24,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-3.8,852.7,20.0,19.8,12600.0,2.2,1002.2,4.6,0.0,186.0,183.0,1.8,166.0,2.5,0.0,51931,2.48,41.34,0.51,41.49,144.37,72.03,122.51,10459.35,0.0,20.96,-12.67,854.42,1005.06,-0.32,3.05,9.34,3.07,173.92,,0.0,58.94,0.21,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,5.4,858.1,47.0,16.8,8300.0,1.4,1003.4,9.0,0.0,246.0,281.0,1.4,245.0,1.5,6.0,51818,4.18,31.83,0.44,65.74,141.63,64.49,115.06,13679.35,0.0,23.86,-9.12,855.0,1005.27,0.85,1.58,10.39,1.8,208.39,,0.0,41.56,0.27,0.0,0.0,0.0,0.0
2025-05-02 01:00:00,-1.5,856.6,26.0,18.3,14700.0,1.1,997.1,5.5,0.0,181.0,179.0,0.9,177.0,1.2,0.0,51826,2.36,43.29,0.5,41.99,154.76,77.58,129.95,10459.35,0.0,22.74,-11.79,856.79,1004.52,1.14,0.89,8.99,1.44,232.04,,0.0,36.06,0.26,0.0,0.0,0.0,0.0
2025-05-02 02:00:00,-3.9,852.8,23.0,17.4,16200.0,0.9,1002.6,4.6,0.0,190.0,172.0,0.7,177.0,1.2,0.0,51931,3.42,25.84,0.4,52.02,118.61,75.22,117.58,10456.63,0.0,19.28,-11.92,854.63,1005.06,0.84,2.49,11.01,2.63,198.73,,0.0,50.58,0.21,0.0,0.0,0.0,0.0
2025-05-02 02:00:00,-1.5,858.6,29.0,16.6,20000.0,1.4,1003.7,5.5,0.0,285.0,296.0,1.1,301.0,1.6,0.0,51818,4.98,19.4,0.3,70.39,118.94,64.05,110.6,13672.63,0.0,19.75,-7.94,855.31,1005.77,2.28,2.08,14.65,3.09,227.64,,0.0,30.33,0.27,0.0,0.0,0.0,0.0
2025-05-02 02:00:00,-8.4,859.5,14.0,19.9,19900.0,2.9,996.7,3.3,0.0,251.0,262.0,2.6,249.0,3.1,0.0,51829,3.34,25.84,0.3,52.63,136.29,82.36,128.15,11128.63,0.0,18.29,-8.51,865.91,1005.02,1.0,1.14,15.35,1.52,221.32,,0.0,24.96,0.24,0.0,0.0,0.0,0.0
2025-05-02 02:00:00,-3.1,854.0,25.0,17.1,22900.0,1.2,1002.4,4.9,0.0,239.0,239.0,1.0,248.0,1.4,0.0,51839,4.17,25.14,0.4,51.63,113.24,68.27,108.46,9256.63,0.0,19.14,-11.76,854.27,1005.21,0.4,0.85,11.25,0.94,205.38,,0.0,18.83,0.24,0.0,0.0,0.0,0.0
2025-05-02 02:00:00,-7.5,857.4,12.0,23.5,13600.0,2.4,1001.2,3.5,0.0,214.0,216.0,2.7,198.0,2.9,0.0,51828,2.36,33.26,0.3,50.64,144.2,116.6,156.64,11726.63,0.0,20.38,-9.16,856.96,1005.28,1.14,3.36,12.81,3.55,198.67,,0.0,44.96,0.21,0.0,0.0,0.0,0.0
2025-05-02 02:00:00,-6.4,856.8,18.0,18.3,24700.0,0.9,996.6,3.8,0.0,218.0,204.0,1.0,200.0,1.2,0.0,51826,3.42,25.84,0.36,52.1,127.22,81.27,125.64,10458.63,0.0,20.66,-10.75,857.13,1005.35,0.91,1.19,11.1,1.5,217.4,,0.0,31.21,0.26,0.0,0.0,0.0,0.0
2025-05-02 03:00:00,2.0,859.5,34.0,18.1,19400.0,1.6,996.7,7.1,0.0,257.0,251.0,1.4,252.0,2.0,0.0,51829,2.36,16.6,0.3,57.86,116.34,55.52,90.29,11128.29,0.0,17.42,-8.14,865.75,1005.02,1.06,1.27,16.69,1.66,219.91,,0.0,32.31,0.24,0.0,0.0,0.0,0.0
2025-05-02 03:00:00,-2.1,853.9,29.0,15.9,27900.0,0.1,1002.2,5.2,0.0,239.0,227.0,0.4,248.0,0.2,0.0,51839,4.07,20.52,0.4,51.91,103.1,49.4,82.5,9254.29,0.0,17.7,-11.27,854.1,1005.15,0.55,1.29,12.81,1.4,202.88,,0.0,26.56,0.24,0.0,0.0,0.0,0.0
2025-05-02 03:00:00,-6.4,856.7,19.0,17.4,24600.0,0.7,996.3,3.8,0.0,219.0,218.0,1.0,222.0,0.7,0.0,51826,2.36,17.63,0.35,55.38,111.11,55.26,89.2,10456.29,0.0,20.27,-10.27,856.98,1005.27,1.49,1.3,11.82,1.98,228.85,,0.0,29.68,0.26,0.0,0.0,0.0,0.0
2025-05-02 03:00:00,-5.7,852.7,20.0,17.5,16000.0,1.6,1002.0,4.0,0.0,159.0,159.0,1.7,169.0,1.8,0.0,51931,3.42,18.29,0.4,53.58,105.92,52.43,85.85,10456.29,0.0,18.24,-10.22,854.65,1005.58,2.21,2.41,13.46,3.27,222.46,,0.0,74.18,0.21,0.0,0.0,0.0,0.0
2025-05-02 03:00:00,-7.5,857.4,13.0,22.2,14900.0,1.9,1001.2,3.5,0.0,227.0,224.0,1.8,224.0,2.3,0.0,51828,2.36,21.14,0.3,56.27,123.13,71.94,98.45,11726.29,0.0,20.02,-8.71,856.79,1005.22,1.47,3.66,13.57,3.95,201.93,,0.0,54.68,0.21,0.0,0.0,0.0,0.0
2025-05-02 03:00:00,-2.6,859.3,20.0,21.2,8200.0,2.2,1003.1,5.0,0.0,300.0,293.0,2.8,321.0,3.7,0.0,51818,4.18,13.22,0.3,73.08,97.74,43.82,80.88,13670.29,0.0,17.8,-5.66,855.23,1005.55,2.91,2.47,19.72,3.82,229.75,,0.0,33.56,0.27,0.0,0.0,0.0,0.0
