datetime,dt,p,rh,t,vis,ws_2min,slp,vapor,precipitation,wd_2min,wd_10min,ws_10min,wd_instant,ws_instant,phenomena,station_id,SO2,NO2,O3,CO,PM10,PM2.5,AQI,ec_blh,ec_cbh,ec_d2m,ec_fal,ec_hcc,ec_lcc,ec_mcc,ec_msl,ec_rh,ec_sf,ec_sh2,ec_sp,ec_t2m,ec_tp,ec_u10,ec_v10,ec_vis,ec_wd,ec_ws,lon,lat
2025-07-17 00:00:00,26.5,994.3,94.0,27.6,7600.0,1.0,1004.1,34.7,0.0,44.0,34.0,1.1,45.0,1.2,10.0,59290,5.282421217798438,16.76309935725787,77.5964218316938,0.598495498628756,33.93673404760966,16.711432811305194,34.835819682940375,80.01,4842.01,24.61,0.16,1.0,0.04,0.02,1004.55,86.85,0.0,0.02,980.97,27.19,0.0,0.13,1.04,26511.71,187.24,1.04,114.25,23.78
2025-07-17 01:00:00,26.1,993.9,94.0,27.2,6700.0,0.5,1003.6,33.9,0.0,79.0,355.0,0.3,93.0,0.9,10.0,59290,5.684504432852828,16.117478867307675,71.61752808615202,0.598495498628756,29.32843833495408,14.648618259619495,30.45902784567872,162.87,931.29,24.76,0.16,0.99,0.08,0.01,1004.65,89.76,0.0,0.02,981.04,26.79,0.0,0.24,1.2,23242.73,191.08,1.23,114.25,23.78
2025-07-17 02:00:00,26.1,993.3,95.0,27.0,5800.0,0.8,1003.1,33.8,0.0,19.0,2.0,0.9,21.0,0.9,10.0,59290,5.922503652656906,15.441875497738994,62.15047594384463,0.5982862607966047,30.661756834993326,13.736226745123126,30.549082156051572,92.18,301.57,25.0,0.16,0.99,0.08,0.0,1004.41,93.55,0.0,0.02,980.77,26.33,0.0,-0.16,0.9,21034.67,169.75,0.91,114.25,23.78
2025-07-17 03:00:00,25.9,993.1,95.0,26.8,5700.0,0.7,1002.8,33.4,0.0,357.0,352.0,0.8,346.0,0.9,10.0,59290,6.365796366861625,16.755460142241173,46.168471003581075,0.598665310641079,29.971719134042377,13.621329555751426,29.379978650540224,33.65,215.01,25.08,0.16,0.96,0.15,0.0,1004.22,95.12,0.0,0.02,980.57,26.13,0.0,-0.27,0.35,18158.19,142.17,0.44,114.25,23.78
2025-07-17 04:00:00,25.9,993.0,96.0,26.6,5400.0,0.8,1002.7,33.4,0.0,351.0,4.0,0.9,351.0,1.0,10.0,59290,5.910438669645147,16.755460142241173,36.97688621602361,0.5982862607966047,33.55458344866627,14.88964535849696,30.82552751221747,28.18,177.53,25.07,0.16,0.97,0.75,0.0,1004.06,97.25,0.0,0.02,980.4,25.75,0.0,-0.36,0.16,17715.53,113.45,0.4,114.25,23.78
2025-07-17 05:00:00,25.8,993.4,96.0,26.5,4000.0,1.1,1003.1,33.2,0.0,12.0,15.0,0.8,25.0,1.3,10.0,59290,5.8663569224561485,17.216768445096264,31.859130541309632,0.5983415810035694,31.899257438263074,17.02918939579868,31.966812072984833,43.07,160.0,25.06,0.16,0.95,0.98,0.0,1004.36,98.87,0.0,0.02,980.68,25.46,0.0,-0.51,0.34,12509.81,123.73,0.61,114.25,23.78
2025-07-17 06:00:00,25.9,993.8,96.0,26.6,5200.0,0.5,1003.5,33.4,0.0,158.0,15.0,0.2,158.0,0.5,10.0,59290,5.797735335881777,17.226355180008312,26.582677569079923,0.5985886149251974,32.88143776542365,17.99303798432851,32.08313941473395,47.94,32.47,25.21,0.16,1.0,0.97,0.0,1004.62,100.0,0.0,0.02,980.93,25.35,0.0,-0.43,0.53,12137.12,140.71,0.68,114.25,23.78
2025-07-17 07:00:00,26.1,994.1,95.0,27.0,8200.0,0.0,1003.9,33.8,0.0,147.5,63.0,0.0,313.0,0.3,0.0,59290,5.919081132057558,17.66924239050418,24.64732858582423,0.5988853649836304,35.19830338390661,19.071306162659035,33.37297357703243,107.42,56.53,26.0,0.16,1.0,1.0,0.0,1005.3,98.16,0.0,0.02,981.59,26.54,0.0,0.17,1.25,11235.69,187.87,1.26,114.25,23.78
2025-07-17 08:00:00,26.5,994.4,93.0,27.8,10300.0,0.3,1004.2,34.7,0.0,137.0,111.0,0.5,139.0,0.5,0.0,59290,5.8729557816447,16.069226006777118,26.393192400372637,0.5990856599751301,35.30602829124773,20.437715463384716,35.06405505001019,358.84,235.55,26.49,0.16,0.95,1.0,0.05,1004.92,92.0,0.0,0.02,981.26,28.14,0.00022888184,0.56,1.26,17839.54,204.09,1.38,114.25,23.78
2025-07-17 09:00:00,26.9,995.1,85.0,29.8,14900.0,1.2,1004.9,35.6,0.0,8.0,34.0,1.0,3.0,1.5,0.0,59290,5.941348020358922,14.877897578324108,38.7893335903715,0.5991104059005606,35.609740988293794,21.97191353509634,35.55911808666287,656.07,404.41,26.56,0.16,1.0,1.0,0.07,1005.05,83.97,0.0,0.02,981.42,29.78,0.0,0.52,0.97,23211.42,208.21,1.1,114.25,23.78
