DATE,dt,p,rh,t,vis,ws_2min,slp,vapor,precipitation,wd_2min,wd_10min,ws_10min,wd_instant,ws_instant,phenomena,station_id,SO2,NO2,CO,O3,PM10,PM2.5,AQI,ec_vis,ec_sh2,ec_t2m,ec_d2m,ec_sp,ec_msl,ec_u10,ec_v10,ec_rh,ec_ws,ec_wd,ec_cbh,ec_sf,ec_blh,ec_fal,ec_lcc,ec_mcc,ec_hcc,ec_tp
2025-07-17 00:00:00,26.5,994.3,94.0,27.6,7600.0,1.0,1004.1,34.7,0.0,44.0,34.0,1.1,45.0,1.2,10.0,59290,5.13,17.96,0.6,75.9,33.73,16.89,35.28,26511.71,0.02,27.19,24.61,980.97,1004.55,0.13,1.04,86.85,1.04,187.24,4842.01,0.0,80.01,0.16,0.04,0.02,1.0,0.0
2025-07-17 00:00:00,27.1,998.8,89.0,29.2,18700.0,1.2,1004.6,36.0,0.0,353.0,357.0,1.2,353.0,1.2,0.0,59297,6.48,17.95,0.5,39.71,29.67,13.68,29.23,25041.71,0.02,28.05,26.26,1004.46,1004.25,0.94,-0.15,91.16,0.95,279.13,13872.52,0.0,67.76,0.17,0.01,0.0,0.95,0.0
2025-07-17 00:00:00,25.5,994.9,81.0,29.2,30000.0,0.7,1004.6,32.8,0.0,215.0,245.0,0.8,210.0,0.7,0.0,59492,5.97,15.95,0.52,38.84,25.83,13.12,25.8,20309.71,0.02,27.87,26.6,1002.27,1004.18,-1.1,2.25,94.01,2.5,154.01,14154.52,0.0,238.51,0.17,0.0,0.0,0.98,0.0
2025-07-17 00:00:00,26.6,992.1,85.0,29.5,30000.0,1.0,1004.4,35.0,0.0,315.0,222.0,0.8,328.0,1.3,0.0,59298,5.99,17.44,0.44,40.42,29.76,14.56,27.13,19967.71,0.02,28.06,26.88,999.42,1004.27,-0.03,-0.06,94.55,0.06,23.97,14131.02,0.0,11.76,0.15,0.0,0.0,0.96,0.0
2025-07-17 01:00:00,26.8,991.6,89.0,28.9,30000.0,0.0,1003.9,35.4,0.0,310.67,290.0,0.0,328.0,0.0,0.0,59298,5.98,17.45,0.44,33.64,30.29,15.31,28.27,19962.73,0.02,27.76,26.97,999.59,1004.45,0.21,-0.58,96.79,0.61,340.42,13521.79,0.0,28.62,0.15,0.0,0.0,0.96,0.0
2025-07-17 01:00:00,26.1,993.9,94.0,27.2,6700.0,0.5,1003.6,33.9,0.0,79.0,355.0,0.3,93.0,0.9,10.0,59290,5.15,16.94,0.6,69.9,29.13,14.6,30.84,23242.73,0.02,26.79,24.76,981.04,1004.65,0.24,1.2,89.76,1.23,191.08,931.29,0.0,162.87,0.16,0.08,0.01,0.99,0.0
2025-07-17 01:00:00,26.2,998.2,83.0,29.5,23300.0,1.5,1004.0,34.2,0.0,246.0,242.0,1.2,245.0,1.8,0.0,59297,6.06,17.96,0.5,32.99,29.27,14.03,29.68,22696.73,0.02,27.89,26.3,1004.58,1004.36,1.42,-0.0,92.28,1.42,270.11,407.79,0.0,163.99,0.17,0.03,0.0,0.94,0.0
2025-07-17 01:00:00,25.8,994.4,85.0,28.6,30000.0,1.8,1004.1,33.2,0.0,178.0,175.0,1.9,189.0,2.3,0.0,59492,6.01,17.96,0.54,30.46,27.1,14.51,26.95,20306.73,0.02,27.63,26.64,1002.58,1004.5,-0.68,1.82,95.59,1.94,159.51,844.79,0.0,200.12,0.17,0.04,0.0,0.96,0.0
2025-07-17 02:00:00,25.9,993.9,85.0,28.7,30000.0,2.0,1003.5,33.4,0.0,138.0,128.0,1.5,138.0,2.3,0.0,59492,6.06,18.78,0.54,23.22,27.56,14.12,27.29,20300.67,0.02,27.44,26.65,1002.15,1004.06,-0.83,1.29,96.7,1.54,147.26,844.07,0.0,115.18,0.17,0.05,0.0,0.83,0.0
2025-07-17 02:00:00,26.1,993.3,95.0,27.0,5800.0,0.8,1003.1,33.8,0.0,19.0,2.0,0.9,21.0,0.9,10.0,59290,5.99,15.96,0.6,60.84,30.31,13.91,30.99,21034.67,0.02,26.33,25.0,980.77,1004.41,-0.16,0.9,93.55,0.91,169.75,301.57,0.0,92.18,0.16,0.08,0.0,0.99,0.0
