datetime,dt,p,rh,t,vis,ws_2min,slp,vapor,precipitation,wd_2min,wd_10min,ws_10min,wd_instant,ws_instant,phenomena,station_id,SO2,NO2,CO,O3,PM10,PM2.5,AQI,ec_vis,ec_sh2,ec_t2m,ec_d2m,ec_sp,ec_msl,ec_u10,ec_v10,ec_rh,ec_ws,ec_wd,ec_cbh,ec_sf,ec_blh,ec_fal,ec_lcc,ec_mcc,ec_hcc,ec_tp
2023-12-25 00:00:00,-8.6,1018.3,65.0,-3.0,16200.0,0.2,1032.6,3.2,0.0,229.5,235.5,0.1,229.0,0.3,0.0,57083,9.03,39.47,0.6,37.6,54.77,32.01,52.55,16817.62,0.0,-1.32,-12.54,1014.23,1032.19,2.23,1.45,42.17,2.67,236.97,,0.0,65.23,0.2,0.0,0.0,0.0,0.0
2023-12-25 00:00:00,-9.3,1014.4,44.0,1.6,30000.0,1.6,1032.4,3.0,0.0,285.0,277.0,1.9,284.0,1.9,0.0,57081,15.61,33.66,0.6,40.33,58.89,28.58,54.34,17261.62,0.0,0.52,-12.33,1016.53,1032.21,4.96,0.42,37.51,4.98,265.13,,0.0,226.98,0.16,0.0,0.0,0.0,0.0
2023-12-25 00:00:00,-19.0,891.9,26.0,-2.0,30000.0,6.3,1033.5,1.4,0.0,283.0,273.0,6.3,278.0,7.6,0.0,57084,9.05,41.78,0.61,29.61,81.08,33.04,61.78,16767.62,0.0,-2.21,-12.82,963.21,1032.53,1.69,-1.21,44.05,2.08,305.63,,0.0,50.11,0.19,0.0,0.0,0.0,0.0
2023-12-25 00:00:00,-7.4,1021.8,72.0,-3.1,30000.0,0.8,1032.3,3.5,0.0,181.0,162.0,0.8,177.0,0.8,0.0,57090,6.1,52.02,0.62,24.77,72.05,39.95,63.1,15871.62,0.0,-4.4,-11.71,1022.29,1032.59,1.88,2.16,56.65,2.86,220.94,,0.0,38.11,0.28,0.0,0.0,0.0,0.0
2023-12-25 00:00:00,-11.3,999.2,43.0,-0.2,30000.0,1.3,1032.1,2.6,0.0,359.0,41.0,1.2,326.0,1.5,0.0,57085,13.47,33.75,0.6,42.57,56.54,26.93,52.45,15751.62,0.0,-3.9,-11.32,993.67,1032.23,1.54,0.99,56.32,1.84,237.2,,0.0,29.86,0.17,0.0,0.0,0.0,0.0
2023-12-25 00:00:00,-12.0,980.9,41.0,-0.3,16000.0,1.5,1032.5,2.4,0.0,68.0,146.0,1.0,76.0,1.5,0.0,57082,11.64,33.79,0.6,41.15,59.99,28.66,54.2,16093.62,0.0,-3.0,-12.82,974.58,1032.35,1.8,-1.51,46.68,2.35,310.08,,0.0,36.73,0.17,0.0,0.0,0.0,0.0
2023-12-25 00:00:00,-9.4,1001.4,48.0,0.3,12400.0,4.9,1033.3,3.0,0.0,236.0,234.0,4.6,236.0,5.6,0.0,57080,10.73,31.58,0.6,44.05,54.63,25.8,52.05,16831.62,0.0,-2.63,-10.14,1017.39,1033.12,1.92,2.38,56.28,3.06,218.78,,0.0,75.73,0.18,0.0,0.0,0.0,0.0
2023-12-25 00:00:00,-6.6,1017.6,79.0,-3.5,16600.0,1.4,1032.6,3.7,0.0,243.0,234.0,0.9,248.0,1.5,0.0,57086,9.04,44.83,0.7,24.68,92.04,47.17,72.08,15545.62,0.0,-4.13,-10.2,1019.98,1032.5,2.77,1.15,62.6,3.0,247.48,,0.0,40.73,0.15,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-8.6,1018.1,66.0,-3.2,17600.0,0.8,1032.4,3.2,0.0,220.0,234.0,0.6,223.0,1.2,0.0,57083,10.78,37.62,0.6,37.65,49.69,31.47,49.35,16107.71,0.0,-2.26,-11.95,1014.06,1032.01,1.63,1.42,47.38,2.16,228.94,,0.0,43.19,0.2,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-6.1,1017.3,85.0,-4.0,21400.0,0.9,1032.3,3.9,0.0,273.0,324.0,0.7,267.0,1.2,0.0,57086,9.03,41.63,0.62,26.48,76.06,44.57,64.6,15891.71,0.0,-3.46,-10.44,1019.68,1032.18,2.48,0.27,58.42,2.49,263.73,,0.0,32.94,0.15,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-9.9,1000.9,46.0,0.4,12800.0,4.8,1032.7,2.9,0.0,238.0,239.0,5.4,238.0,5.9,0.0,57080,10.73,33.75,0.6,39.71,59.77,26.68,54.77,16829.71,0.0,-2.6,-10.22,1017.14,1032.85,2.19,2.23,55.77,3.13,224.41,,0.0,83.19,0.18,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-9.4,1014.3,50.0,-0.2,30000.0,0.9,1032.3,3.0,0.0,311.0,310.0,0.8,290.0,0.9,0.0,57081,14.49,31.38,0.6,40.75,54.27,28.62,51.99,17259.71,0.0,0.74,-12.61,1016.3,1031.97,4.69,0.11,36.08,4.69,268.7,,0.0,229.07,0.16,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-7.4,1021.6,79.0,-4.3,30000.0,1.5,1032.1,3.5,0.0,80.0,66.0,1.0,83.0,1.5,0.0,57090,5.97,53.92,0.61,23.21,70.19,39.06,61.93,15869.71,0.0,-4.31,-11.64,1022.11,1032.4,1.58,1.75,56.61,2.36,222.14,,0.0,28.82,0.28,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-11.3,980.7,44.0,-0.6,14900.0,1.3,1032.2,2.6,0.0,54.0,46.0,0.7,84.0,1.9,0.0,57082,11.86,31.62,0.6,39.7,55.38,29.1,51.53,16089.71,0.0,-2.99,-12.93,974.27,1031.93,1.82,-1.56,46.22,2.4,310.7,,0.0,35.57,0.17,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-10.8,999.2,48.0,-1.2,30000.0,1.8,1032.1,2.7,0.0,140.0,103.0,1.1,143.0,2.4,0.0,57085,13.47,33.75,0.6,42.36,53.01,27.15,50.22,15749.71,0.0,-4.02,-11.53,993.44,1032.0,1.3,0.9,55.91,1.58,235.17,,0.0,26.19,0.17,0.0,0.0,0.0,0.0
2023-12-25 01:00:00,-24.5,891.6,13.0,0.8,30000.0,3.4,1032.4,0.8,0.0,295.0,292.0,4.8,297.0,4.2,0.0,57084,8.08,40.0,0.6,27.83,74.44,32.98,59.44,16765.71,0.0,-1.99,-12.81,962.96,1032.19,1.82,-1.25,43.35,2.21,304.35,,0.0,52.07,0.19,0.0,0.0,0.0,0.0
