DATE,dt,p,rh,t,vis_atf,ws_2mi_avg,slp,vap,prec_1h,wd_2mi_avg,wd_10mi_avg,ws_10mi_avg,win_d_inst,win_s_inst,wp,staCode,ec_vis,ec_sh2,ec_t2m,ec_d2m,ec_sp,ec_msl,ec_u10,ec_v10,ec_rh,ec_ws,ec_wd,SO2,NO2,O3,CO,PM10,PM2.5,AQI
2025-07-17 00:00:00,26.5,994.3,94.0,27.6,7600.0,1.0,1004.1,34.7,0.0,44.0,34.0,1.1,45.0,1.2,10.0,59290,26511.705,0.01984806,27.190582,24.610504,980.97144,1004.5531,0.13156128,1.0360107,86.8501205444336,1.0443307,187.23715,5.021580542679291,18.287371574570763,77.59642183169379,0.5993479731712557,33.93673404760966,16.957470087606787,35.36161009625721
2025-07-17 01:00:00,26.1,993.9,94.0,27.2,6700.0,0.5,1003.6,33.9,0.0,79.0,355.0,0.3,93.0,0.9,10.0,59290,23242.727,0.02003164,26.788727,24.763336,981.04266,1004.65,0.23542786,1.2024536,89.75614929199219,1.225284,191.07779,5.249632383565388,17.551891720347573,71.617528086152,0.5993479731712557,29.32843833495409,14.664302277943062,30.922766481684715
2025-07-17 02:00:00,26.1,993.3,95.0,27.0,5800.0,0.8,1003.1,33.8,0.0,19.0,2.0,0.9,21.0,0.9,10.0,59290,21034.674,0.020327283,26.330475,25.00235,980.77,1004.405,-0.1620636,0.8961334,93.55086517333984,0.9106699,169.749,5.5713590391997485,16.544274701280393,62.15047594384463,0.576754515696641,30.66175683499332,13.982264021424722,31.0748725693684
2025-07-17 03:00:00,25.9,993.1,95.0,26.8,5700.0,0.7,1002.8,33.4,0.0,357.0,352.0,0.8,346.0,0.9,10.0,59290,18158.186,0.020432184,26.133453,25.084625,980.5712,1004.22064,-0.2718048,0.35005188,95.11643981933594,0.44318637,142.17172,6.442779956420771,19.871246070993656,46.16847100358108,0.6107000874146625,29.97171913404237,13.982264021424722,30.178277001229915
2025-07-17 04:00:00,25.9,993.0,96.0,26.6,5400.0,0.8,1002.7,33.4,0.0,351.0,4.0,0.9,351.0,1.0,10.0,59290,17715.525,0.020424545,25.749908,25.074127,980.39795,1004.0569,-0.36421204,0.15802002,97.24983978271484,0.39701477,113.4545,5.9295533739437785,19.90246966180547,36.9768862160236,0.576754515696641,33.55458344866627,15.250579824170256,32.255044055108925
2025-07-17 05:00:00,25.8,993.4,96.0,26.5,4000.0,1.1,1003.1,33.2,0.0,12.0,15.0,0.8,25.0,1.3,10.0,59290,12509.808,0.020404994,25.460846,25.064362,980.68024,1004.3606,-0.5077362,0.33894348,98.86831665039062,0.61047417,123.72543,5.475566958311535,19.311953483123144,31.85913054130963,0.5863337237854623,31.89925743826307,17.34969856768104,32.76511042367452
2025-07-17 06:00:00,25.9,993.8,96.0,26.6,5200.0,0.5,1003.5,33.4,0.0,158.0,15.0,0.2,158.0,0.5,10.0,59290,12137.123,0.020578092,25.3544,25.207916,980.9277,1004.6181,-0.43133545,0.5270996,100.0,0.6810905,140.7059,5.343307198313651,19.54766877319097,26.58267756907993,0.6011208793258412,32.88143776542365,18.313547156210863,32.88143776542365
2025-07-17 07:00:00,26.1,994.1,95.0,27.0,8200.0,0.0,1003.9,33.8,0.0,147.5,63.0,0.0,313.0,0.3,0.0,59290,11235.694,0.021571344,26.536774,26.00357,981.59143,1005.3006,0.17245483,1.2476959,98.1563720703125,1.2595578,187.86948,5.5713590391997485,19.730161407848936,24.64732858582423,0.6541610582220264,35.19830338390661,19.31734343896064,33.89876399034927
2025-07-17 08:00:00,26.5,994.4,93.0,27.8,10300.0,0.3,1004.2,34.7,0.0,137.0,111.0,0.5,139.0,0.5,0.0,59290,17839.541,0.022216024,28.136871,26.490387,981.2555,1004.925,0.56243896,1.2578278,92.00157928466795,1.3778491,204.09186,5.797293613945895,17.573100171222656,26.39319240037264,0.656098728977887,35.30602829124773,20.45339948170828,35.519595832323674
2025-07-17 09:00:00,26.9,995.1,85.0,29.8,14900.0,1.2,1004.9,35.6,0.0,8.0,34.0,1.0,3.0,1.5,0.0,59290,23211.418,0.022299472,29.779938,26.555328,981.425,1005.0469,0.5207367,0.9706116,83.97250366210938,1.1014779,208.21371,5.5713590391997485,15.26872356830052,38.7893335903715,0.6465195208890657,35.609740988293794,21.987597553419903,36.02285672266888
2025-07-17 10:00:00,26.8,995.2,78.0,31.2,17900.0,0.3,1005.0,35.4,0.0,210.0,180.0,1.1,241.0,0.6,0.0,59290,26467.564,0.022350019,31.056305,26.599274,981.7522,1005.33435,0.56967163,1.1802826,78.24857330322266,1.3105696,205.76462,5.343307198313651,14.661354884995,62.92535826252208,0.6671753076078198,54.04644002628447,25.69150879247044,47.2238582101084
2025-07-17 11:00:00,27.1,994.9,72.0,32.9,20500.0,1.6,1004.7,36.0,0.0,174.0,129.0,2.0,188.0,2.0,0.0,59290,28592.648,0.021981424,32.166656,26.322906,981.83325,1005.3725,1.1273956,1.323349,72.25625610351562,1.7384688,220.42856,5.117372623567505,10.287548754845067,91.38026277062134,0.6465195208890657,47.24732768258252,27.241200720010163,45.65794714198401
2025-07-17 12:00:00,26.8,993.8,66.0,34.1,20600.0,2.0,1003.5,35.3,0.0,184.0,193.0,1.7,176.0,3.4,0.0,59290,7683.224,0.02090139,29.639801,25.477692,981.5425,1005.15,1.8724823,2.309845,79.35566711425781,2.9734783,219.03006,5.117372623567505,8.26981969329921,117.56596412832408,0.623714336800456,44.118208384084,26.122158676861467,48.19452156099674
2025-07-17 13:00:00,27.3,993.0,65.0,34.9,25300.0,1.5,1002.7,36.3,0.0,149.0,166.0,1.7,126.0,1.6,0.0,59290,13058.614,0.02088089,30.153229,25.44815,980.83044,1004.4169,2.1551208,0.22903442,76.91314697265625,2.167257,263.9337,4.891438048821359,7.93560402210402,138.0000806493248,0.6011208793258412,41.10361838735936,27.1035232016554,49.59461591848965
2025-07-17 14:00:00,25.3,993.2,81.0,29.0,6400.0,9.3,1003.0,32.4,6.7,277.0,277.0,7.0,244.0,10.3,64.0,59290,21964.82,0.020915698,31.724274,25.458649,979.8178,1003.32,1.2205658,0.14431763,70.35508728027344,1.2290682,263.25674,4.891438048821359,6.894733340846859,139.45074128895638,0.6011208793258412,38.78912103155182,27.2792272443605,49.44254524371587
2025-07-17 15:00:00,26.4,992.7,93.0,27.7,2900.0,0.6,1002.5,34.5,17.0,96.0,104.0,0.7,76.0,0.7,60.0,59290,28573.756,0.020793632,32.167145,25.352692,979.2908,1002.7512,1.8795319,1.2988739,68.17294311523438,2.2846692,235.3531,4.567594127047047,7.212056994333726,127.36774893655272,0.6011208793258412,36.43550687922959,28.875291948703644,47.97004685385692
